tax_code,company_name,industry,province,year,revenue,cost_of_goods,operating_expenses,total_expenses,gross_profit,net_profit,tax_paid,vat_input,vat_output,num_employees,registered_capital,industry_avg_profit_margin,fraud_label
0400000180,Tập đoàn Tân Phong Miền Nam,Giáo dục & Đào tạo,Khánh Hòa,2024,4623991670.04,3207964243.88,326832005.01,3534796248.89,1416027426.16,1089195421.15,218033219.88,309286242.02,453714836.07,72,11756764561.06,0.1,0
0500001450,Tập đoàn Đại Phong Quốc tế,Vận tải & Logistics,Long An,2023,3859972287.78,2957749852.51,211102908.12,3168852760.63,902222435.27,691119527.15,134924391.94,300580463.6,370562661.33,44,10090767753.42,0.07,0
0200004269,Công ty TNHH Nam Việt,Vận tải & Logistics,Thanh Hóa,2022,1186922714.95,859649997.36,124370923.73,984020921.09,327272717.59,202901793.86,43868337.91,89717866.29,115098839.44,28,2948022000.25,0.07,0
0700002210,Công ty TNHH MTV An Phát Quốc tế,Thực phẩm & Đồ uống,TP.HCM,2023,3330433624.67,2644342310.49,295315150.53,2939657461.02,686091314.18,390776163.65,75255179.89,266941901.23,335254592.66,72,29826042351.39,0.09,0
0800002235,Tập đoàn Tân Phong,Viễn thông,Nghệ An,2022,16078947344.91,12054860233.77,862852336.12,12917712569.89,4024087111.14,3161234775.02,595128528.1,1158486443.15,1610226662.5,50,4360452654.84,0.13,0
0500002326,DNTN Bảo An Việt Nam,Khoáng sản & Năng lượng,Bình Dương,2022,17054237705.05,10370455850.95,1810893251.12,12181349102.07,6683781854.09,4872888602.97,1008746271.57,1045964894.08,1736211351.82,98,5092377239.45,0.11,0
0900002466,HTX Kim Long Hà Nội,Công nghệ thông tin,Nghệ An,2023,17011439283.87,10519078687.01,1475512619.08,11994591306.08,6492360596.86,5016847977.79,1038569078.0,975170502.66,1651852462.65,103,769923042.84,0.15,0
0100003706,Công ty TNHH MTV Đông Á Sài Gòn,Khoáng sản & Năng lượng,Quảng Ninh,2023,22673377934.92,16920836281.71,3184713660.59,20105549942.29,5752541653.22,2567827992.63,509065013.08,1596204315.33,2281010760.22,5,3373806427.43,0.11,0
0200004221,Xí nghiệp Tiến Đạt Quốc tế,Giáo dục & Đào tạo,Bắc Ninh,2024,5346572441.17,3081033362.27,483676392.6,3564709754.87,2265539078.9,1781862686.3,358250783.19,277572143.69,549588091.49,20,4747056846.99,0.1,0
0600001768,Công ty CP Nam Việt Việt Nam,Vận tải & Logistics,Khánh Hòa,2022,4920752748.08,3405220582.03,281589221.09,3686809803.13,1515532166.04,1233942944.95,256811506.61,335716681.6,493909601.42,30,4417133872.38,0.07,0
0700000770,Công ty CP Tiến Đạt Việt Nam,Thương mại XNK,Bà Rịa-VT,2024,7733126461.09,6128057511.21,1053108687.56,7181166198.77,1605068949.88,551960262.32,103862162.87,578099612.66,790308366.59,51,9618045026.03,0.04,0
0300002346,Công ty TNHH Bảo An Hà Nội,Sản xuất công nghiệp,Bà Rịa-VT,2024,34434505626.23,23572261887.16,3633862576.13,27206124463.28,10862243739.08,7228381162.95,1328826921.68,2364227162.94,3441493971.91,125,13041265061.45,0.08,0
0100000629,Xí nghiệp Đông Á Miền Nam,Công nghệ thông tin,Hà Nội,2024,25704253030.68,20340172998.35,3752904577.9,24093077576.25,5364080032.33,1611175454.43,304556313.11,1992479541.72,2628350061.39,5,6861999417.94,0.15,0
0500002997,Tập đoàn Trường Phát,Thương mại XNK,Hải Phòng,2022,2533258502.53,1521105323.58,366830955.31,1887936278.89,1012153178.95,645322223.65,140854383.07,141190138.43,254946388.92,33,3066716113.03,0.04,0
0900000056,HTX Liên Minh Sài Gòn,Bất động sản,Đồng Nai,2023,3130754480.7,2264025415.23,418931043.88,2682956459.1,866729065.47,447798021.59,97523499.03,220646531.89,318812493.93,49,970478060.51,0.12,0
1000000598,Công ty TNHH Đông Á Việt Nam,Công nghệ thông tin,Long An,2023,17863140963.94,10727776683.24,1863036175.99,12590812859.23,7135364280.69,5272328104.7,1083336672.88,1035350020.8,1790213168.91,35,381653395.13,0.15,0
0300001325,Công ty TNHH MTV Thái Bình Hà Nội,Xây dựng,Hải Phòng,2022,10380734909.97,6338932280.24,1055065550.44,7393997830.67,4041802629.73,2986737079.29,600433695.55,621834198.04,1064353248.22,21,14555197268.76,0.06,0
0500002273,DNTN Sao Mai Hà Nội,Thực phẩm & Đồ uống,Long An,2023,24803722336.26,17699317291.46,2929388822.52,20628706113.98,7104405044.79,4175016222.27,789399714.6,1846696644.61,2436980567.28,5,16389578324.97,0.09,0
0400002608,Công ty CP Thuận Phát Quốc tế,Du lịch & Khách sạn,Quảng Ninh,2024,2717343108.36,1998522805.11,404774942.99,2403297748.1,718820303.25,314045360.26,57704955.66,193763444.74,263926605.06,89,11916513542.11,0.08,0
0800003936,DNTN Minh Đức Hà Nội,Thực phẩm & Đồ uống,Hải Phòng,2023,8789742073.81,5743134006.68,883275060.07,6626409066.75,3046608067.14,2163333007.07,429751919.84,585304886.5,838000781.78,49,345978967.24,0.09,0
0600000346,Công ty CP Tây Nguyên Hà Nội,Dịch vụ tài chính,TP.HCM,2023,17053596747.72,11604695312.67,1117596041.23,12722291353.9,5448901435.05,4331305393.82,895127217.17,1059580987.93,1723324552.28,35,14006991.3,0.18,0
0500000949,Công ty TNHH MTV Đức Tín Miền Nam,Vận tải & Logistics,Long An,2023,1320429117.46,756127126.24,188735605.16,944862731.4,564301991.21,375566386.05,74654613.23,68194361.88,136694573.16,42,7121182010.27,0.07,0
0400001123,Tập đoàn Tân Phong Hà Nội,Khoáng sản & Năng lượng,Bà Rịa-VT,2024,56513131233.82,37599901708.39,2879890204.66,40479791913.05,18913229525.44,16033339320.77,3022084348.42,3617194368.73,5839249439.95,10,8511378385.88,0.11,0
0600002943,Xí nghiệp Thái Bình Sài Gòn,Dịch vụ tài chính,Bắc Ninh,2022,6337895968.78,4520171165.34,569528351.65,5089699516.99,1817724803.44,1248196451.79,244081058.09,454104121.16,661220587.28,84,1672159930.39,0.18,0
0100003449,Công ty CP Tây Nguyên Miền Nam,Vận tải & Logistics,Đà Nẵng,2024,11206400103.0,8403571132.64,1263943302.79,9667514435.43,2802828970.35,1538885667.57,284350354.73,869363291.45,1128027734.37,33,10621475810.49,0.07,0
0200002932,HTX Duy Tân Hà Nội,Xây dựng,Đà Nẵng,2023,2610114773.25,1805054046.5,194704609.66,1999758656.16,805060726.75,610356117.09,117442021.85,183491838.92,251623445.07,49,417876712.6,0.06,0
1000000254,DNTN Hải Đăng Sài Gòn,Giáo dục & Đào tạo,Bắc Ninh,2024,64328336667.91,45092884572.48,3535443622.73,48628328195.21,19235452095.43,15700008472.7,2885461219.21,4395994726.62,6132328150.59,32,1065895631.97,0.1,0
1000000531,Công ty TNHH Duy Tân Miền Nam,Y tế & Dược phẩm,Khánh Hòa,2022,83803213682.22,60645704115.34,4258049178.5,64903753293.84,23157509566.89,18899460388.39,3868124080.56,6168517008.71,8039849749.59,16,4629654045.93,0.14,0
0100004744,DNTN Đông Á Miền Nam,Xây dựng,Thanh Hóa,2022,16782636652.28,10512717454.79,2123660663.61,12636378118.41,6269919197.49,4146258533.87,897112653.48,1089593057.65,1681335404.68,18,1830540438.42,0.06,0
0200001957,Tập đoàn Tân Phong Hà Nội,Giáo dục & Đào tạo,Hải Phòng,2023,2887367362.79,1909870327.86,260372492.49,2170242820.35,977497034.92,717124542.43,155584728.76,185534027.12,288538158.93,192,6066344777.99,0.1,0
0700003313,Tập đoàn Hoàng Gia,Sản xuất công nghiệp,Cần Thơ,2023,4091326458.13,2437296729.42,520457603.72,2957754333.13,1654029728.71,1133572124.99,217009879.3,249888593.91,425195409.04,21,1096290001.12,0.08,0
0900001723,DNTN Hải Đăng Việt Nam,May mặc & Giầy da,Bắc Ninh,2022,18149609676.19,12007814422.02,1498842395.88,13506656817.9,6141795254.17,4642952858.29,950569644.4,1140999908.92,1815383089.3,20,968194290.9,0.06,0
1000003636,Công ty CP Đông Á,Giáo dục & Đào tạo,TP.HCM,2023,7184671435.17,5661605836.0,505199579.71,6166805415.7,1523065599.18,1017866019.47,191707874.53,519575624.25,689484750.51,55,704045368.78,0.1,0
0500001374,Công ty TNHH MTV Bắc Sơn Miền Nam,May mặc & Giầy da,Long An,2022,17746082740.06,13940855569.2,930601692.21,14871457261.41,3805227170.85,2874625478.65,555754814.85,1284433254.17,1689720426.43,29,2920169438.5,0.06,0
0300004316,Công ty TNHH Trường Phát Sài Gòn,Xây dựng,Thanh Hóa,2022,14458666523.27,10533752884.43,1620330791.87,12154083676.29,3924913638.84,2304582846.98,440757789.77,1104203133.74,1454165647.06,44,207022247.81,0.06,0
0800004827,Tập đoàn Liên Minh,Giáo dục & Đào tạo,Lâm Đồng,2023,8441069873.65,7157637671.83,1157376838.38,8315014510.2,1283432201.83,126055363.45,11119106.89,657384815.41,843484350.82,22,3201980432.8,0.1,1
0600000049,Công ty TNHH Thuận Phát Quốc tế,Vận tải & Logistics,Cần Thơ,2024,5008305727.01,2885948753.23,371638830.26,3257587583.5,2122356973.78,1750718143.51,384223989.97,281331872.46,482925656.5,76,19157186328.65,0.07,0
0300003912,Tập đoàn Tín Nghĩa Miền Nam,Khoáng sản & Năng lượng,Cần Thơ,2022,11145646639.29,7512777095.99,1166357312.67,8679134408.66,3632869543.29,2466512230.62,462995348.46,750432032.51,1091688313.98,59,2152476562.66,0.11,0
0900000129,Xí nghiệp Thuận Phát,Dịch vụ tài chính,Bắc Ninh,2022,15544784770.77,10434804644.63,1295857399.21,11730662043.84,5109980126.14,3814122726.93,807306096.06,967845170.26,1546907251.78,48,906111534.03,0.18,0
0300001315,Tập đoàn Đức Tín Sài Gòn,Dịch vụ tài chính,Long An,2023,5134054018.77,3831544050.93,318674676.61,4150218727.54,1302509967.84,983835291.23,203804163.2,374394443.02,526000459.36,21,268629429.19,0.18,0
0300004467,DNTN Văn Minh Miền Nam,Xây dựng,Lâm Đồng,2023,18027082298.94,11401091520.11,2680320044.26,14081411564.36,6625990778.83,3945670734.58,853562331.55,1131141708.19,1772679829.73,38,1957394079.72,0.06,0
0400000457,Công ty TNHH MTV Nam Việt Việt Nam,Xây dựng,Bà Rịa-VT,2024,2435743282.85,1930217421.38,127877524.13,2058094945.51,505525861.48,377648337.34,79846673.63,174804966.54,239223358.98,62,832444376.23,0.06,0
0200000961,Công ty TNHH MTV Đông Á,Thực phẩm & Đồ uống,Khánh Hòa,2023,8138402278.62,5000360342.12,431864797.66,5432225139.78,3138041936.5,2706177138.85,500714489.75,463748987.86,784463375.62,9,23264553463.12,0.09,0
0200004680,Tập đoàn Đông Á Hà Nội,Du lịch & Khách sạn,Khánh Hòa,2024,4316713154.9,2868174155.25,364344086.23,3232518241.48,1448538999.65,1084194913.42,228985213.12,283447808.58,431294655.47,30,1320621885.53,0.08,0
0300003786,Công ty TNHH MTV An Phát,Thương mại XNK,Long An,2024,14180660014.87,8365953874.38,1568576357.9,9934530232.28,5814706140.49,4246129782.59,909781087.39,796282936.21,1470569243.51,43,913926569.78,0.04,0
0300000997,Tập đoàn Phúc Lợi Sài Gòn,Du lịch & Khách sạn,Bắc Ninh,2022,4170840257.79,3001888002.95,579491578.96,3581379581.91,1168952254.84,589460675.88,122008165.8,294645540.46,430756634.25,17,756231245.21,0.08,0
0900003865,Tập đoàn Thành Đạt,Xây dựng,Đà Nẵng,2022,27449565976.44,17454845336.95,2382199934.42,19837045271.37,9994720639.49,7612520705.07,1617719113.32,1691517651.86,2685873335.51,17,415747636.31,0.06,0
0700003527,Công ty CP Tiến Đạt,Viễn thông,Bình Dương,2022,4085126127.73,2605035509.27,442773961.54,3047809470.81,1480090618.46,1037316656.92,218319531.76,253628318.56,410805243.27,18,13440035758.06,0.13,0
0300004955,HTX Quang Minh,Bất động sản,Quảng Ninh,2024,4532662534.51,4054546566.13,390680641.34,4445227207.47,478115968.38,87435327.04,5492259.27,420855051.56,446819048.85,18,211736895.29,0.12,1
0700004808,Công ty CP Nam Việt,Giáo dục & Đào tạo,Hà Nội,2022,5678448860.65,4364606525.42,1267052450.83,5631658976.24,1313842335.23,46789884.41,1843214.0,523755986.58,547803187.41,3,551061849.59,0.1,1
0600001008,HTX Tân Phong Miền Nam,Viễn thông,Khánh Hòa,2022,959070023.63,650430448.72,77364802.43,727795251.15,308639574.91,231274772.48,49884163.41,61387841.21,95322141.63,64,3606850125.67,0.13,0
0200000083,HTX Quang Minh Sài Gòn,Khoáng sản & Năng lượng,Đà Nẵng,2024,13677035891.85,7941002946.08,1675690671.45,9616693617.53,5736032945.77,4060342274.32,783323050.33,831397095.91,1435689147.14,421,1789590572.69,0.11,0
1000004048,Công ty CP Nam Việt Quốc tế,Thương mại XNK,Đồng Nai,2024,11035908249.57,7787615572.24,919634830.1,8707250402.34,3248292677.33,2328657847.23,500163342.17,719769228.88,1157950717.31,50,14583816199.62,0.04,0
0100003812,Xí nghiệp Hòa Bình Miền Nam,Khoáng sản & Năng lượng,Thanh Hóa,2024,62116499278.43,41419875998.12,7184903212.24,48604779210.35,20696623280.32,13511720068.08,2880956986.83,3943758984.55,6006338438.48,194,102366384.32,0.11,0
1000002364,Công ty CP Liên Minh Hà Nội,Bất động sản,Cần Thơ,2022,8046602168.5,4843070916.43,1202043647.14,6045114563.57,3203531252.07,2001487604.93,396799415.26,500712552.85,785211817.17,32,32382665343.79,0.12,0
0900000310,Xí nghiệp Thuận Phát Hà Nội,Giáo dục & Đào tạo,TP.HCM,2024,11731616033.6,7380953368.65,1056027603.19,8436980971.84,4350662664.95,3294635061.76,612867420.9,753039101.79,1173580430.78,8,538526026.12,0.1,0
0500002405,DNTN Sao Mai Sài Gòn,Viễn thông,Khánh Hòa,2024,21418281636.7,13902964164.38,1080950376.07,14983914540.45,7515317472.33,6434367096.26,1278572199.92,1443544999.23,2060576374.52,11,1224997674.38,0.13,0
0600001228,Xí nghiệp Thăng Long Miền Nam,Dịch vụ tài chính,Bình Dương,2022,3782498070.77,2817349907.99,249835060.23,3067184968.22,965148162.78,715313102.55,141605023.12,254427557.0,387448727.14,28,7578983509.31,0.18,0
0900002789,DNTN Tây Nguyên Quốc tế,Khoáng sản & Năng lượng,Long An,2023,97547223118.0,54358723166.62,8525485132.57,62884208299.19,43188499951.38,34663014818.82,6843915377.01,4903491202.66,10068660814.44,100,5063728977.06,0.11,0
0900003159,Công ty TNHH Tân Phong Hà Nội,Y tế & Dược phẩm,Cần Thơ,2023,12058606963.03,7917306409.16,897017550.21,8814323959.37,4141300553.87,3244283003.66,708223206.91,756113239.58,1261470283.11,18,4564415360.48,0.14,0
0800003908,Công ty TNHH Phúc Lợi Miền Nam,Thực phẩm & Đồ uống,Đồng Nai,2022,6485036707.83,4355806525.89,669702533.12,5025509059.02,2129230181.94,1459527648.81,306865472.18,409346955.72,673233890.51,39,3261552893.96,0.09,0
0300002472,Tập đoàn Duy Tân Việt Nam,Công nghệ thông tin,TP.HCM,2023,13844094063.36,8142380728.94,1103549053.29,9245929782.23,5701713334.42,4598164281.13,943560511.82,766043444.64,1449606183.51,13,707207660.97,0.15,0
0900003501,Công ty TNHH Đông Á Hà Nội,Công nghệ thông tin,Lâm Đồng,2023,6958571991.45,4872223926.97,635222902.21,5507446829.18,2086348064.48,1451125162.26,299107248.39,460397965.36,727889900.05,30,2435341588.02,0.15,0
0700003505,Tập đoàn Quang Minh Quốc tế,Bất động sản,Bắc Ninh,2022,20235040038.47,13691937569.65,1376429359.25,15068366928.9,6543102468.82,5166673109.57,1011779368.28,1335073273.89,2051375131.96,22,17043133757.46,0.12,0
0200004503,Tập đoàn Sơn Hà,Thương mại XNK,Cần Thơ,2022,7624676634.35,5303487867.7,726649150.04,6030137017.74,2321188766.65,1594539616.62,333671576.42,513429165.15,789134480.34,196,24229430772.0,0.04,0
0200002390,HTX Phúc Lợi Việt Nam,Y tế & Dược phẩm,Nghệ An,2024,21922147707.1,16695322955.14,3241355166.32,19936678121.46,5226824751.96,1985469585.64,359778110.56,1563593705.68,2221879145.95,24,6179287518.63,0.14,0
0400001109,DNTN Thăng Long Việt Nam,Xây dựng,Thanh Hóa,2023,12066628261.98,9599347407.74,1676245946.91,11275593354.65,2467280854.23,791034907.33,148577125.89,923626785.04,1153282061.67,12,2814554282.72,0.06,0
0900001674,HTX Thuận Phát Việt Nam,Giáo dục & Đào tạo,Bình Dương,2023,1456974944.79,1131781725.11,153288040.65,1285069765.76,325193219.68,171905179.03,35707408.75,105320402.6,149310019.27,119,2242899288.59,0.1,0
0100000738,DNTN Thuận Phát Miền Nam,Y tế & Dược phẩm,Đà Nẵng,2022,6236600548.67,3521492813.78,905725257.34,4427218071.13,2715107734.89,1809382477.54,370021740.02,362226309.07,598951573.57,78,3057291447.15,0.14,0
0100000738,DNTN Thuận Phát Miền Nam,Y tế & Dược phẩm,Đà Nẵng,2024,5714378885.86,3593351303.3,438547387.21,4031898690.51,2121027582.56,1682480195.35,366753426.09,361511895.95,553456942.2,78,3057291447.15,0.14,0
0900004931,Xí nghiệp Phú Thịnh,Vận tải & Logistics,Long An,2024,1970702394.62,1911581322.78,112351869.61,2023933192.39,59121071.84,-53230797.77,0.0,219549863.98,203591292.7,45,498154038.37,0.07,1
1000000953,HTX Nam Việt,Viễn thông,Bà Rịa-VT,2022,5084131688.88,3041972344.32,394908690.63,3436881034.95,2042159344.56,1647250653.93,358722556.59,298757660.01,487354846.04,61,33622549308.33,0.13,0
0300001341,DNTN Hòa Bình Quốc tế,Vận tải & Logistics,Khánh Hòa,2023,84963250990.46,58730016392.65,5883755541.03,64613771933.68,26233234597.81,20349479056.78,4239321410.13,5418147000.67,8308098622.61,49,9799804362.07,0.07,0
0400000920,Xí nghiệp Minh Đức Việt Nam,May mặc & Giầy da,Hà Nội,2022,49529884574.42,29466649120.57,5128893355.52,34595542476.09,20063235453.85,14934342098.33,3134832510.27,3033266673.54,5149083350.74,29,8815815232.18,0.06,0
0900001096,Công ty TNHH Duy Tân Sài Gòn,Xây dựng,Lâm Đồng,2024,2666051211.91,1506005161.99,223936544.04,1729941706.04,1160046049.91,936109505.87,179290124.26,143728719.56,256055565.16,45,118030633.37,0.06,0
0700003347,Tập đoàn Thuận Phát Hà Nội,Giáo dục & Đào tạo,TP.HCM,2024,67604079096.83,39158552615.25,8989793776.05,48148346391.31,28445526481.58,19455732705.53,4177072971.19,3891522969.74,6618490713.54,21,8050126686.0,0.1,0
0400000875,Tập đoàn Nam Việt Sài Gòn,Công nghệ thông tin,Bà Rịa-VT,2023,27226337186.2,20196301781.12,2868765751.68,23065067532.8,7030035405.08,4161269653.4,804917534.85,2034362066.04,2834456135.97,86,9027151139.93,0.15,0
0800001536,Tập đoàn Văn Minh Việt Nam,Công nghệ thông tin,Bà Rịa-VT,2023,1176623739.03,912328729.3,165527478.09,1077856207.39,264295009.73,98767531.64,20186486.48,92204461.73,117142783.14,27,3311678408.08,0.15,0
0500004427,Công ty CP Tân Phong Quốc tế,May mặc & Giầy da,Bà Rịa-VT,2024,9418898038.79,5496524997.01,1223246453.9,6719771450.92,3922373041.78,2699126587.87,485948217.72,562456140.97,902028779.55,16,3121301484.23,0.06,0
0300004157,Tập đoàn Duy Tân Quốc tế,Bất động sản,Hải Phòng,2023,4476670714.11,2947751485.25,535440218.3,3483191703.56,1528919228.85,993479010.55,179470628.92,282942794.64,435086718.04,50,10039871710.18,0.12,0
0400003913,DNTN Tiến Đạt,Dịch vụ tài chính,Đồng Nai,2022,1931820572.78,1463392138.77,205365403.98,1668757542.76,468428434.01,263063030.02,54820946.04,150629906.48,195711243.69,173,610597667.81,0.18,0
0300002220,Công ty TNHH MTV Tiến Đạt,Du lịch & Khách sạn,Long An,2023,41787505751.46,31368045513.37,3733453150.97,35101498664.34,10419460238.08,6686007087.12,1234588952.35,2862542993.43,4022086881.5,34,1730772365.36,0.08,0
0200004646,Công ty CP Tân Phong Hà Nội,Viễn thông,Thanh Hóa,2023,5829477346.86,3446145494.55,442260472.8,3888405967.35,2383331852.3,1941071379.51,366423586.33,312518312.09,604829544.47,58,2878182842.67,0.13,0
0800002453,Công ty TNHH MTV Tiến Đạt Miền Nam,Y tế & Dược phẩm,Bà Rịa-VT,2022,20242529438.41,14520201741.69,2976109144.71,17496310886.4,5722327696.72,2746218552.01,568562676.46,1328464841.51,2087766954.69,57,4977856859.92,0.14,0
0400001068,DNTN Đông Á,Thương mại XNK,Bà Rịa-VT,2022,28230609715.37,16372801768.27,3609471016.09,19982272784.36,11857807947.1,8248336931.01,1606960519.17,1638469117.94,2873701792.7,26,1414249428.53,0.04,0
1000003917,Xí nghiệp Tín Nghĩa Việt Nam,Xây dựng,Long An,2023,19695438236.31,12644969451.4,2408885112.8,15053854564.2,7050468784.91,4641583672.11,914459374.46,1190306042.44,1927169181.78,114,13635178706.32,0.06,0
0400002042,Công ty TNHH Sao Mai Miền Nam,Viễn thông,Lâm Đồng,2022,11068145526.94,8100423501.91,1434798649.09,9535222151.0,2967722025.02,1532923375.94,287962170.86,842101566.39,1126461060.83,32,28166147327.87,0.13,0
0300004876,Xí nghiệp Bảo An Sài Gòn,Thương mại XNK,Cần Thơ,2023,52493980720.69,49609193257.32,6982691594.88,56591884852.2,2884787463.37,-4097904131.51,0.0,4881435255.63,5377172020.21,22,3002523171.47,0.04,1
0800000892,Xí nghiệp Minh Đức Miền Nam,Thương mại XNK,Thanh Hóa,2024,6880489705.9,4597859322.63,868780461.51,5466639784.14,2282630383.28,1413849921.77,310888922.51,474293003.21,707824091.68,6,7612084091.9,0.04,0
0800001236,DNTN Kim Long Việt Nam,Thực phẩm & Đồ uống,Thanh Hóa,2022,969000024.3,733725545.71,88850473.9,822576019.61,235274478.59,146424004.69,30616047.82,74175902.91,96388738.02,53,4286103067.0,0.09,0
0200003329,Công ty TNHH MTV Tín Nghĩa Sài Gòn,Nông nghiệp,Bà Rịa-VT,2022,26562214055.86,15057307268.51,2824431264.5,17881738533.02,11504906787.35,8680475522.85,1772840460.76,1462112106.53,2754779256.76,21,8366763397.06,0.05,0
0500000935,Tập đoàn Việt Hùng Quốc tế,Thực phẩm & Đồ uống,Khánh Hòa,2022,825110241.14,595363452.09,60952023.24,656315475.33,229746789.05,168794765.81,36027187.09,55673310.87,84341471.36,18,1813602673.74,0.09,0
0700000484,Công ty TNHH Tiến Đạt Sài Gòn,Bất động sản,Long An,2023,49967668911.4,39747747815.21,6005881623.23,45753629438.44,10219921096.19,4214039472.96,842154161.23,4146304964.31,4962249507.45,123,12655103627.82,0.12,0
0100004807,Công ty TNHH MTV Trường Phát Quốc tế,Thương mại XNK,Bắc Ninh,2022,7607085600.54,5433577855.21,2072850098.77,7506427953.98,2173507745.33,100657646.56,8867871.36,505481274.27,760056094.9,4,1765052004.61,0.04,1
0600003333,Xí nghiệp Tín Nghĩa Quốc tế,Du lịch & Khách sạn,Bà Rịa-VT,2022,4119867673.9,3209537052.76,389262427.74,3598799480.5,910330621.14,521068193.4,110881644.08,311205163.52,426075755.39,174,520979424.13,0.08,0
0800000773,Tập đoàn Thuận Phát Việt Nam,Nông nghiệp,Long An,2022,50090807662.39,33264180008.96,4633261324.39,37897441333.35,16826627653.43,12193366329.04,2370458631.9,3131375249.76,4939769343.95,74,12543696947.06,0.05,0
0600004627,Công ty TNHH Nam Việt Hà Nội,Vận tải & Logistics,TP.HCM,2023,934350232.5,562420765.5,132264685.68,694685451.17,371929467.0,239664781.32,48239916.59,53347185.53,91128603.07,85,16970442921.3,0.07,0
0700004202,Công ty TNHH MTV Hòa Bình Sài Gòn,Xây dựng,Đà Nẵng,2024,11088760806.2,6419536346.29,1121608674.19,7541145020.48,4669224459.91,3547615785.73,680945540.65,597594382.01,1138984127.17,26,245486534.59,0.06,0
0400002444,HTX Sao Mai,May mặc & Giầy da,Thanh Hóa,2023,5333704725.72,3302746203.77,636718584.14,3939464787.91,2030958521.95,1394239937.81,261033660.53,329813438.75,549543562.74,21,2353880573.3,0.06,0
0800001217,Công ty TNHH MTV Việt Hùng,Y tế & Dược phẩm,Long An,2022,6353452322.89,4091678427.38,608136590.22,4699815017.6,2261773895.51,1653637305.29,361760760.82,388829888.38,605629565.05,206,4668684757.01,0.14,0
0500000762,Công ty TNHH MTV Duy Tân Hà Nội,Viễn thông,Lâm Đồng,2024,5087437404.81,3079462823.62,331314400.76,3410777224.38,2007974581.19,1676660180.43,311494009.55,288537764.09,506909576.33,17,8262105029.31,0.13,0
0300001207,Công ty CP Quang Minh Sài Gòn,Viễn thông,Cần Thơ,2024,15517155814.27,10040686908.29,1022180425.68,11062867333.97,5476468905.98,4454288480.3,895037258.97,944780109.14,1589663188.83,33,27796802742.0,0.13,0
0100004539,DNTN Liên Minh Miền Nam,Viễn thông,TP.HCM,2023,16551853804.87,11728236054.28,1256114332.47,12984350386.76,4823617750.59,3567503418.11,776387730.09,1219617369.82,1611118801.37,11,17065320938.72,0.13,0
0500001626,HTX Thái Bình,Bất động sản,Hà Nội,2022,14303461737.56,9204494235.88,1807047831.03,11011542066.91,5098967501.68,3291919670.65,659687178.79,943478515.92,1474118342.31,32,20980285057.63,0.12,0
